OBJECTID;N_DEPTO;Y;X;id_unico
129;Santa Cruz;-18,172689697;-62,993265383;50226002,3
130;Santa Cruz;-18,17233234;-63,000522448;50217514,1
131;Santa Cruz;-18,16340097;-63,009851028;50256882,4
132;Santa Cruz;-18,169323968;-63,051196902;50161557,4
133;Santa Cruz;-18,192259219;-63,051959593;50024242,9
134;Santa Cruz;-18,177537836;-63,081173956;50069198,7
135;Santa Cruz;-18,112322425;-63,012057144;50557594,3
136;Santa Cruz;-18,177843104;-63,102146186;50036995,3
137;Santa Cruz;-18,177728921;-63,118180716;50014488
138;Santa Cruz;-18,200196617;-62,954269817;50120674,7
139;Santa Cruz;-18,200992121;-62,968774711;50094583,8
140;Santa Cruz;-18,201423499;-62,980750602;50074391,4
141;Santa Cruz;-18,19900475;-63,003575415;50055120
142;Santa Cruz;-18,212486195;-63,003777407;49975144,1
143;Santa Cruz;-18,211829797;-63,051306027;49909205,6
144;Santa Cruz;-18,199721633;-63,091366683;49922506
145;Santa Cruz;-18,224298455;-62,958152145;49972914,9
146;Santa Cruz;-18,110764774;-63,051406308;50510327,6
147;Santa Cruz;-18,22116487;-62,987164672;49948431,5
148;Santa Cruz;-18,221991018;-63,041097879;49864064
149;Santa Cruz;-18,219593259;-63,052519826;49861470,2
150;Santa Cruz;-18,223453426;-63,093110825;49779134,4
151;Santa Cruz;-18,214739323;-63,12529274;49783900,1
152;Santa Cruz;-18,233006965;-63,126970948;49672985,5
153;Santa Cruz;-18,112937921;-63,090019753;50442044
154;Santa Cruz;-18,112896081;-63,125172686;50392155,3
155;Santa Cruz;-18,129997789;-62,96374745;50522302,2
156;Santa Cruz;-18,130563116;-62,974575046;50503214
157;Santa Cruz;-18,131398727;-63,000087899;50461245,7
158;Santa Cruz;-18,135267815;-63,034268103;50388767,6
159;Santa Cruz;-18,046108099;-62,89160325;51125905,6
160;Santa Cruz;-18,037814305;-62,870540179;51205666,9
161;Santa Cruz;-18,071364361;-62,889967603;50977830
162;Santa Cruz;-18,084251695;-62,871292801;50928318,4
164;Santa Cruz;-18,106788474;-62,884989398;50774680,2
165;Santa Cruz;-18,086082032;-63,10581086;50580640
166;Santa Cruz;-18,080985802;-63,082580677;50644214,3
167;Santa Cruz;-18,075029581;-63,069183509;50698997,1
168;Santa Cruz;-18,078064402;-63,048710445;50709917,1
169;Santa Cruz;-18,077210229;-63,02145747;50753912,1
170;Santa Cruz;-18,074793106;-62,996145527;50804572,5
171;Santa Cruz;-18,073736891;-62,965267506;50855158
172;Santa Cruz;-18,075958962;-62,93578932;50884308,6
173;Santa Cruz;-18,072502559;-62,925195005;50920179,7
174;Santa Cruz;-18,050783696;-62,970593837;50984744,3
175;Santa Cruz;-18,031827614;-62,998933306;51058049,5
176;Santa Cruz;-18,052455676;-62,926880091;51037336,3
177;Santa Cruz;-18,044427333;-63,021428479;50950496,3
178;Santa Cruz;-18,047573354;-63,040190041;50905007,5
179;Santa Cruz;-18,033939031;-63,072842963;50940949,7
180;Santa Cruz;-18,034334502;-63,094229658;50908507,6
181;Santa Cruz;-18,034916286;-63,143088632;50836590,8
182;Santa Cruz;-18,038083863;-63,165922019;50785576,7
183;Santa Cruz;-18,073499242;-63,148230803;50596425,8
184;Santa Cruz;-18,368128687;-63,25485931;48685522,8
185;Santa Cruz;-18,360832479;-63,239698678;48751030,8
186;Santa Cruz;-18,442882288;-63,25809023;48241452,1
187;Santa Cruz;-18,340935535;-63,204206763;48920974,5
188;Santa Cruz;-18,401473851;-63,206768573;48561213
189;Santa Cruz;-18,281384936;-63,223332969;49245125,3
190;Santa Cruz;-18,219331096;-63,14969776;49721114,3
191;Santa Cruz;-18,193033119;-63,15709267;49867034,8
193;Santa Cruz;-18,187964848;-63,178174035;49866904,5
195;Santa Cruz;-18,231206434;-62,913745727;49998343,9
196;Santa Cruz;-18,308341368;-63,001909708;49414310,4
198;Santa Cruz;-18,418810742;-63,199887442;48470019,3
200;Santa Cruz;-18,356244888;-63,179738934;48867202,8
203;Santa Cruz;-18,667577619;-63,239738553;46969144
204;Santa Cruz;-18,242204674;-63,184428018;49534601,7
205;Santa Cruz;-18,128693553;-62,949764864;50550381,3
206;Santa Cruz;-18,276440766;-63,187136601;49327408,7
210;Santa Cruz;-18,078625159;-62,822261663;51033076,7
215;Santa Cruz;-18,398500094;-63,613104414;47981723,4
216;Santa Cruz;-18,439039888;-63,577121316;47791535,4
217;Santa Cruz;-18,790397602;-63,300266411;46173467
218;Santa Cruz;-18,907259229;-63,401146172;45350411,7
219;Santa Cruz;-18,460164397;-63,209968029;48213233,3
223;Santa Cruz;-19,791187253;-63,197713064;40988821,6
225;Santa Cruz;-19,794027015;-63,086739107;41183912,7
226;Santa Cruz;-19,813537532;-63,100277177;41060393,9
227;Santa Cruz;-19,781517787;-63,145897953;41135185,8
228;Santa Cruz;-19,621494585;-63,240277711;41775984,4
229;Santa Cruz;-19,717661896;-63,143887363;41462168,3
232;Santa Cruz;-19,696392305;-63,120925133;41613175,5
233;Santa Cruz;-19,719243559;-63,288000752;41185600
234;Santa Cruz;-19,744724067;-63,198819821;41222005,2
235;Santa Cruz;-19,676669029;-63,204844113;41557761,9
236;Santa Cruz;-19,850775938;-63,294667863;40505504,3
237;Santa Cruz;-19,843749246;-63,176677068;40764118,5
238;Santa Cruz;-19,718329293;-63,195376355;41362651,4
239;Santa Cruz;-19,645485851;-63,126484236;41862624
240;Santa Cruz;-19,662269307;-63,206715028;41628082
241;Santa Cruz;-19,610181521;-63,21779339;41875679
242;Santa Cruz;-19,888104394;-63,280434387;40344933,2
243;Santa Cruz;-19,899989925;-63,277732738;40290558,7
244;Santa Cruz;-19,325146488;-63,282186517;43257978,7
245;Santa Cruz;-19,296818637;-63,286105291;43402881,7
246;Santa Cruz;-19,45136919;-63,335393549;42492487,2
247;Santa Cruz;-19,348605998;-63,168843455;43333113,3
248;Santa Cruz;-19,389635252;-63,25196202;42967936,9
249;Santa Cruz;-19,45941143;-63,321428382;42474946,4
250;Santa Cruz;-19,36952895;-63,275127805;43033659,4
251;Santa Cruz;-19,531233032;-63,235673955;42252635,9
253;Santa Cruz;-19,23052069;-63,288195096;43756362,4
