c_manz,lat,long,id_unico
0173310140,-16.3046714913,-68.0649264049,628714368-A
0212149010,-16.3205350661,-68.0615579437,627158465-A
0133040060,-16.2809571026,-68.0701359332,631046929-A
0043610501,-16.3122715189,-68.0826623728,628284999-A
0043640620,-16.3139322653,-68.0833577016,628135797-A
0140728120,-16.2807414665,-68.060998878,630918133-A
0212130500,-16.3133689252,-68.0650273796,627892431-A
0212138000,-16.3130484385,-68.0713012784,628024027-A
0212138080,-16.3147726124,-68.0710425381,627856551-A
0212139000,-16.3146674176,-68.0708900499,627864051-A
0212138030,-16.3125997041,-68.0651658584,627967486-A
0212130381,-16.3126186004,-68.0656403843,627973345-A
0213880031,-16.3124004649,-68.0635474483,627960276-A
0212130680,-16.3133034682,-68.0707890101,627991593-A
0212130670,-16.313225733,-68.0706165861,627996169-A
0212130660,-16.312948238,-68.070705125,628023881-A
0192420011,-16.3126993037,-68.0231839605,627289191-A
0193960570,-16.3257122608,-68.0436640953,626383877-A
0193968020,-16.3253720259,-68.0429324898,626404430-A
0193968010,-16.3257793679,-68.0440145635,626383089-A
0193968000,-16.3247125677,-68.0451129216,626501284-A
0193420050,-16.3153006076,-68.0200125115,626993817-A
0193420040,-16.3154616887,-68.0205239183,626986650-A
0193420030,-16.3152048063,-68.0205611067,627011474-A
0193420020,-16.3151404768,-68.0204409899,627015657-A
0193420010,-16.3149976039,-68.0205534703,627030906-A
0140728090,-16.2803787728,-68.061462572,630960075-A
0143170471,-16.2819382934,-68.0636863295,630848478-A
0100990300,-16.2922931753,-68.0853459241,630220778-A
0122900120,-16.2834281595,-68.07258099,630852556-A
0140760280,-16.2915470696,-68.0657267666,629970831-A
0102670700,-16.2651881664,-68.0911653623,632891891-A
0100950420,-16.272748161,-68.0902217606,632157560-A
0060280090,-16.3004423834,-68.0826618455,629403581-A
0060280160,-16.300142743,-68.0825705695,629430510-A
0121960320,-16.2839437227,-68.0734168617,630817337-A
0100930130,-16.2633371575,-68.0909732048,633064686-A
0121960350,-16.2837020854,-68.0737690094,630846031-A
0060270110,-16.3005368767,-68.0800543347,629352012-A
0192280013,-16.3203801736,-68.0152136665,626439485-A
0043669010,-16.3216790004,-68.081857794,627377308-A
0060270050,-16.3001290128,-68.0803678237,629395812-A
0043640140,-16.3125885248,-68.082530725,628249720-A
0091800390,-16.290147106,-68.0954743108,630591486-A
0083450100,-16.29420268,-68.0928449737,630162922-A
0060270040,-16.2958755473,-68.0807376781,629805297-A
0150850160,-16.2957052331,-68.0646322215,629558997-A
0150840190,-16.2952413841,-68.0649232133,629607671-A
0183958130,-16.3000830479,-68.0423763467,628785944-A
0060290040,-16.3011166929,-68.0835133941,629353546-A
0150880150,-16.3016228123,-68.0643639857,628994033-A
0200919000,-16.3300265424,-68.0532630719,626128536-A
0200920460,-16.3430877899,-68.0437837551,624745098-A
0043620691,-16.3133708342,-68.0846271845,628209679-A
0193378020,-16.3226088172,-68.0246436213,626376962-A
0063300130,-16.3017892159,-68.0834306937,629288404-A
0112658030,-16.2619605968,-68.0833553043,633068731-A
0111360170,-16.2902917323,-68.0845192056,630397151-A
0111450040,-16.2921619527,-68.0806597482,630156328-A
0111420110,-16.2847908651,-68.0813648874,630867409-A
0111330230,-16.2820733354,-68.0852530325,631189453-A
0171670500,-16.2953576536,-68.0507574322,629367616-A
0173100270,-16.3042939937,-68.0613638812,628692571-A
0150820340,-16.2935472917,-68.0634393973,629744113-A
0163361000,-16.2953964889,-68.0553794366,629438476-A
0163361010,-16.2953883844,-68.0555355539,629441764-A
0212050360,-16.3114525002,-68.0630480559,628041973-A
0213810360,-16.3117855817,-68.0612661551,627981762-A
0212050350,-16.3110957729,-68.06273804,628070750-A
0213810350,-16.311606577,-68.061214204,627997869-A
0212060250,-16.3110314471,-68.0610510773,628049683-A
0213900620,-16.3204890863,-68.0606968125,627149014-A
0213900610,-16.32073971,-68.0609904514,627130008-A
0213900600,-16.3211372722,-68.0614152723,627099204-A
0213900590,-16.3210334438,-68.0615346791,627110940-A
0212140580,-16.3205298095,-68.0619353248,627165013-A
0212110110,-16.3132269944,-68.0623252704,627862367-A
0212120100,-16.3116270227,-68.0617934219,628005254-A
0212110100,-16.3134085942,-68.0620769145,627841183-A
0212120090,-16.3116672285,-68.0616019599,627998367-A
0212110090,-16.3136280885,-68.0617426546,627815033-A
0182349000,-16.3042119614,-68.0504049324,628523993-A
0150840110,-16.2948704196,-68.0636929301,629622857-A
0080100020,-16.2942333743,-68.0934023203,630169196-A
0043610460,-16.3121089335,-68.0825009779,628294698-A
0183988300,-16.3025721274,-68.0509297626,628687581-A
0183980700,-16.3025323209,-68.0508037612,628689324-A
0150810020,-16.2937903798,-68.0648375087,629743777-A
0161570170,-16.2924137047,-68.0608894234,629810154-A
0132890090,-16.2752156732,-68.0645456865,631500035-A
0161581280,-16.2851976545,-68.0439697711,630220030-A
0161588340,-16.2914819734,-68.0533134066,629775790-A
0121980100,-16.2839538526,-68.072660633,630803990-A
0060300120,-16.3025806215,-68.0821466976,629192361-A
